JJ hel 2400000+	E(1)	O-C(1)	Quad. Res.	ADS	HIP	KWS	ASAS-SN	AAVSO	BAV	GEOS	SOURCE	Source/Obs
19903,520	-514	-47,15	0,77	-47,15							ADS	Nielsen 1937
23201,500	-441	-35,05	0,22	-35,05							ADS	Leiner 1929
23244,975	-440	-36,59	-1,47	-36,59							ADS	Szabados 1991
23245,400	-440	-36,17	-1,05	-36,17							ADS	Leiner 1929
23290,200	-439	-36,38	-1,42	-36,38							ADS	Leiner 1929
23290,700	-439	-35,88	-0,92	-35,88							ADS	Leiner 1929
23335,500	-438	-36,09	-1,29	-36,09							ADS	Leiner 1929
23382,200	-437	-34,40	0,24	-34,40							ADS	Leiner 1929
23426,400	-436	-35,21	-0,73	-35,21							ADS	Leiner 1929
23470,600	-435	-36,03	-1,70	-36,03							ADS	Leiner 1924
23520,100	-434	-31,54	2,63	-31,54							ADS	Leiner 1929
23560,000	-433	-36,65	-2,64	-36,65							ADS	Zacharov 1928
23562,300	-433	-34,35	-0,34	-34,35							ADS	Leiner 1929
23606,820	-432	-34,84	-0,99	-34,84							ADS	Nielsen 1937
23607,000	-432	-34,66	-0,81	-34,66							ADS	Zacharov 1928
23651,731	-431	-34,94	-1,25	-34,94							ADS	Zacharov 1924
23652,000	-431	-34,67	-0,98	-34,67							ADS	Zacharov 1928
23697,000	-430	-34,69	-1,15	-34,69							ADS	Zacharov 1928
23742,000	-429	-34,70	-1,31	-34,70							ADS	Zacharov 1928
23789,700	-428	-32,01	1,22	-32,01							ADS	Ahnert 1931
23877,517	-426	-34,22	-1,30	-34,22							ADS	Szabados 1991
23923,562	-425	-33,19	-0,42	-33,19							ADS	Szabados 1991
23967,607	-424	-34,15	-1,54	-34,15							ADS	Ahnert 1931
24013,407	-423	-33,36	-0,91	-33,36							ADS	Zacharov 1928
24015,000	-423	-31,77	0,69	-31,77							ADS	Zacharov 1928
24060,000	-422	-31,78	0,52	-31,78							ADS	Zacharov 1928
24060,100	-422	-31,68	0,62	-31,68							ADS	Ahnert 1931
24105,300	-421	-31,50	0,66	-31,50							ADS	Ahnert 1931
24148,197	-420	-33,61	-1,61	-33,61							ADS	Szabados 1991
24148,900	-420	-32,91	-0,91	-32,91							ADS	Nielsen 1937
24150,100	-420	-31,71	0,29	-31,71							ADS	Ahnert 1931
24239,440	-418	-32,39	-0,70	-32,39							ADS	Nielsen 1937
24286,200	-417	-30,64	0,90	-30,64							ADS	Ahnert 1931
24329,463	-416	-32,39	-1,00	-32,39							ADS	Zacharov 1928
24329,500	-416	-32,36	-0,96	-32,36							ADS	Zacharov 1928
24332,500	-416	-29,36	2,04	-29,36							ADS	Ahnert 1931
24373,000	-415	-33,87	-2,63	-33,87							ADS	Zacharov 1928
24374,633	-415	-32,24	-0,99	-32,24							ADS	Szabados 1991
24377,500	-415	-29,37	1,87	-29,37							ADS	Ahnert 1931
24419,533	-414	-32,35	-1,26	-32,35							ADS	Nielsen 1927
24420,000	-414	-31,88	-0,79	-31,88							ADS	Zacharov 1928
24421,000	-414	-30,88	0,21	-30,88							ADS	Ahnert 1931
24465,900	-413	-30,99	-0,05	-30,99							ADS	Ahnert 1931
24511,449	-412	-30,46	0,34	-30,46							ADS	Ahnert 1931
24691,900	-408	-30,05	0,14	-30,05							ADS	Leiner 1929
24692,500	-408	-29,45	0,74	-29,45							ADS	Ahnert 1931
24736,039	-407	-30,93	-0,88	-30,93							ADS	Leiner 1929
24736,624	-407	-30,34	-0,29	-30,34							ADS	Szabados 1991
24736,900	-407	-30,07	-0,02	-30,07							ADS	Ahnert 1931
24737,000	-407	-29,97	0,08	-29,97							ADS	Zacharov 1928
24781,299	-406	-30,68	-0,78	-30,68							ADS	Zacharov 1928
24782,040	-406	-29,94	-0,04	-29,94							ADS	Nielsen 1937
24783,000	-406	-28,98	0,92	-28,98							ADS	Zacharov 1928
24826,000	-405	-30,99	-1,24	-30,99							ADS	Zacharov 1928
